City,County,Employees,FTemployees,MedianPayK,MedianPayBenesK,TotalCompM,CompCostPerResidentK,MedianPrivatePayK,medianHomeK,medianMortgageK,medianNonMortK,medianRentK,retailK,medianIncomeK,perCapIncomeK,popdensityK,populationK,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,householdSize,commuteTime
Loma Linda,San Bernardino,93,68,80.991,91.727,8.538585,0.357,40.417,291.6,1.884,0.539,1.136,9.344,51.39,28.952,3.208643617,24.129,0.11,0.003,0.255,0.001,0.038,0.256,0.337,0.369,0.315,0.329,0.432,0.897,0.471,0.121,0.201,2.64,21.9
Lomita,Los Angeles,99,32,61.591,77.5,3.607202,0.174,50.332,532.3,2.199,0.485,1.282,6.818,61.58,32.36,10.83403141,20.693,0.036,0.004,0.147,0.002,0.085,0.312,0.414,0.352,0.216,0.45,0.333,0.88,0.295,0.168,0.131,2.56,25.6
Lompoc,Santa Barbara,606,320,63.847,85.256,34.134324,0.781,32.431,250.3,1.645,0.389,0.99,8.597,46.728,20.613,3.768275862,43.712,0.053,0.016,0.034,0.005,0.078,0.495,0.32,0.564,0.202,0.436,0.398,0.763,0.13,0.166,0.202,2.95,24.2
Long Beach,Los Angeles,6296,3939,86.025,115.678,546.173596,1.162,41.4,448.8,2.17,0.467,1.15,8.087,55.151,27.752,9.348379399,470.13,0.125,0.012,0.125,0.009,0.053,0.409,0.267,0.546,0.26,0.398,0.459,0.795,0.295,0.159,0.203,2.81,29.9
Loomis,Placer,25,7,58.768,89.79,0.947111,0.141,55.901,318.6,1.795,0.498,1.451,12.484,78.099,39.12,0.930811554,6.767,0.002,0.014,0.01,0,0.029,0.043,0.902,0.059,0.014,0.673,0.041,0.963,0.288,0.163,0.048,2.73,27.9
Los Alamitos,Orange,180,48,97.33,117.134,7.133126,0.611,61.443,680.1,2.481,0.518,1.644,14.642,80.926,36.909,2.87308642,11.636,0.038,0.005,0.125,0.004,0.096,0.23,0.502,0.273,0.145,0.448,0.217,0.913,0.407,0.11,0.092,2.75,28.9
Los Altos,Santa Clara,215,100,108.506,132.059,17.628315,0.582,181.794,NA,NA,1.047,2.611,NA,187.656,96.464,4.708936826,30.561,0.002,0.001,0.273,0,0.057,0.033,0.634,0.036,0.254,0.832,0.293,0.986,0.809,0.017,0.033,2.75,23.7
Los Altos Hills,Santa Clara,41,19,84.22,113.673,2.327785,0.277,193.512,NA,NA,NA,1.962,NA,243.701,140.161,0.966022727,8.501,0.007,0,0.299,0.002,0.026,0.039,0.627,0.046,0.323,0.902,0.364,0.976,0.846,0.014,0.042,2.68,24.3
Los Angeles,Los Angeles,49485,33380,101.907,114.619,4332.76231,1.105,37.672,496.3,2.464,0.632,1.241,10.409,51.538,29.878,8.484268248,3976.322,0.088,0.007,0.114,0.002,0.035,0.476,0.279,0.571,0.378,0.366,0.598,0.759,0.325,0.204,0.215,2.83,30.5
Los Banos,Merced,227,133,62.49,99.468,15.240071,0.411,40.309,179.5,1.405,0.402,1.082,7.36,45.751,17.554,3.768068068,37.643,0.019,0.006,0.03,0.001,0.045,0.674,0.224,0.699,0.256,0.531,0.505,0.694,0.112,0.16,0.229,3.45,41.7
Los Gatos,Santa Clara,233,147,86.099,121.582,21.040499,0.69,126.765,1338.4,NA,0.892,1.91,NA,127.278,74.855,2.756768953,30.545,0.013,0.002,0.14,0.001,0.044,0.064,0.737,0.079,0.192,0.655,0.201,0.97,0.655,0.054,0.052,2.48,28.1
Lynwood,Los Angeles,201,120,54.995,108.847,15.356446,0.215,26.817,312.1,1.77,0.43,1.056,4.557,43.848,13.629,14.70805785,71.187,0.086,0.007,0.008,0.002,0.015,0.86,0.022,0.953,0.392,0.42,0.836,0.531,0.06,0.249,0.243,4.47,30.6
Madera,Madera,658,229,58.068,87.76,24.514365,0.386,31.298,165.6,1.237,0.37,0.948,8.88,40.034,15.131,4.081317289,64.444,0.032,0.007,0.022,0.001,0.037,0.756,0.146,0.795,0.317,0.468,0.631,0.598,0.084,0.162,0.263,3.71,23.9
Malibu,Los Angeles,157,53,77.026,105.386,7.778434,0.605,105.542,1802.8,NA,1.216,2.679,14.887,116.904,104.155,0.650783224,12.879,0.015,0,0.036,0.001,0.048,0.074,0.826,0.089,0.17,0.706,0.149,0.972,0.614,0.083,0.105,2.28,34.8
Mammoth Lakes,Mono,148,64,75.863,102.728,7.889401,0.981,32.393,334,2.132,0.644,1.181,13.59,60.899,30.939,0.321431444,7.994,0.007,0.005,0.017,0,0.027,0.349,0.595,0.361,0.23,0.396,0.342,0.808,0.326,0.299,0.07,2.82,12.8
Manhattan Beach,Los Angeles,552,247,97.969,126.488,43.565451,1.224,125.086,1537.2,NA,0.811,2.232,21.605,144.868,87.206,9.071319797,35.741,0.01,0.007,0.095,0,0.062,0.081,0.745,0.098,0.11,0.685,0.148,0.982,0.75,0.03,0.037,2.57,29.9
Manteca,San Joaquin,680,319,83.361,120.534,49.025212,0.666,45.092,274.2,1.811,0.458,1.251,11.595,64.502,24.532,4.337732657,76.908,0.038,0.008,0.074,0.005,0.065,0.39,0.421,0.436,0.168,0.579,0.306,0.824,0.15,0.098,0.116,3.15,34.5
Marina,Monterey,143,71,110.091,136.554,10.865323,0.521,41.81,392.5,2.138,0.46,1.198,10.317,57.135,26.525,2.442342342,21.688,0.061,0.008,0.171,0.027,0.123,0.247,0.362,0.316,0.231,0.407,0.361,0.834,0.303,0.137,0.171,2.65,24
Martinez,Contra Costa,270,94,93.006,123.801,15.844515,0.422,68.505,462.3,2.279,0.53,1.55,8.449,93.874,43.405,3.154080791,38.259,0.024,0.006,0.073,0.004,0.057,0.159,0.676,0.189,0.114,0.663,0.153,0.942,0.376,0.052,0.055,2.51,31
Marysville,Yuba,113,44,60.436,80.22,4.546098,0.373,33.316,145.2,1.283,0.377,0.881,19.159,41.679,18.806,3.54017341,12.249,0.043,0.009,0.043,0.001,0.071,0.279,0.554,0.331,0.112,0.36,0.195,0.824,0.156,0.14,0.251,2.57,23.2
Maywood,Los Angeles,20,13,45.76,57.431,1.143555,0.041,25.34,325.6,1.689,0.345,0.98,3.871,36.696,12.726,23.41779661,27.633,0.004,0.001,0.001,0,0.009,0.97,0.015,0.975,0.461,0.253,0.929,0.423,0.054,0.277,0.269,4.21,30
McFarland,Kern,68,34,51.352,70.911,3.62165,0.27,26.615,136.7,1.045,0.271,0.849,2.939,33.687,9.668,5.447191011,14.544,0.011,0.002,0,0.001,0.022,0.931,0.034,0.944,0.362,0.568,0.877,0.457,0.028,0.21,0.377,4.24,20.5
Mendota,Fresno,74,28,50.188,60.736,2.589314,0.227,25.215,114.5,1.07,0.193,0.725,4.241,26.094,8.682,3.481097561,11.418,0.004,0.003,0,0,0.021,0.962,0.01,0.969,0.524,0.342,0.866,0.291,0.01,0.275,0.495,4.03,30.9
Menifee,Riverside,107,53,75.019,98.588,6.41772,0.075,44.782,244.7,1.711,0.411,1.337,5.122,57.598,24.183,1.905121584,88.531,0.056,0.005,0.054,0.003,0.05,0.357,0.476,0.418,0.155,0.736,0.25,0.857,0.174,0.118,0.115,3.03,40.3
Menlo Park,San Mateo,526,260,88.065,123.42,36.910532,1.107,124.135,1581.7,NA,1.004,1.934,13.328,126.045,74.162,3.461491318,33.888,0.054,0.002,0.125,0.015,0.047,0.157,0.601,0.213,0.241,0.579,0.311,0.932,0.706,0.045,0.081,2.73,23.9
Merced,Merced,576,370,69.959,98.101,44.454421,0.545,33.141,170.5,1.33,0.417,0.855,11.704,39.307,18.415,3.541766724,82.594,0.055,0.007,0.114,0,0.048,0.494,0.283,0.556,0.214,0.408,0.453,0.747,0.176,0.126,0.306,3.16,23.2
Millbrae,San Mateo,150,54,77.558,102.218,8.303592,0.368,65.045,1037.4,3.43,0.664,1.936,8.334,98.533,46.539,6.972615385,22.661,0.006,0.004,0.478,0.002,0.043,0.14,0.328,0.15,0.38,0.618,0.503,0.914,0.464,0.065,0.053,2.75,28.9
Mill Valley,Marin,440,122,82.493,106.602,18.978264,1.325,143.451,1201.6,3.993,0.919,1.968,13.749,149.336,99.322,3.014705882,14.35,0.003,0.003,0.036,0,0.05,0.078,0.83,0.084,0.124,0.688,0.137,0.984,0.787,0.024,0.035,2.36,31.6
Milpitas,Santa Clara,614,287,126.812,187.11,61.691916,0.839,65.883,635.3,2.77,0.611,1.995,16.464,103.623,37.051,5.704782929,77.528,0.021,0.004,0.66,0.006,0.04,0.151,0.119,0.176,0.528,0.641,0.683,0.871,0.453,0.071,0.086,3.33,26.4
Mission Viejo,Orange,300,117,80.176,108.647,15.811865,0.164,72.665,608.1,2.573,0.499,1.997,18.119,104.886,44.684,5.433821871,96.396,0.016,0.002,0.099,0.002,0.051,0.167,0.664,0.185,0.197,0.771,0.236,0.943,0.472,0.073,0.047,2.81,27.7
Modesto,Stanislaus,1717,906,70.287,92.28,117.972413,0.565,41.963,208,1.529,0.448,1.034,11.534,50.996,24.006,5.7546786,212.175,0.038,0.007,0.072,0.01,0.047,0.375,0.451,0.42,0.176,0.538,0.343,0.815,0.184,0.128,0.182,2.89,26.9
Monrovia,Los Angeles,410,195,93.08,121.344,30.185866,0.813,46.106,583.3,2.422,0.549,1.318,21.091,67.167,35.161,2.727847171,37.126,0.07,0.003,0.134,0.002,0.05,0.365,0.376,0.438,0.248,0.467,0.396,0.894,0.369,0.141,0.088,2.77,31
Montclair,San Bernardino,357,158,74.952,102.889,21.018097,0.548,31.559,281.1,1.631,0.357,1.17,26.739,50.374,18.359,7.055072464,38.944,0.033,0.005,0.097,0.003,0.031,0.685,0.146,0.723,0.333,0.574,0.62,0.709,0.143,0.192,0.178,3.62,31
Montebello,Los Angeles,609,325,58.957,80.705,44.598288,0.703,30.683,413.9,1.936,0.426,1.157,12.921,47.518,21.217,7.603241297,63.335,0.013,0.011,0.128,0.001,0.024,0.741,0.083,0.765,0.367,0.449,0.699,0.716,0.19,0.225,0.145,3.18,34.8
Monterey,Monterey,983,384,85.991,122.865,59.656948,2.095,51.745,664.3,2.416,0.581,1.531,16.017,68.511,39.462,3.359386068,28.454,0.036,0.005,0.07,0.003,0.06,0.177,0.65,0.218,0.168,0.35,0.235,0.942,0.495,0.123,0.086,2.19,15.4
Monterey Park,Los Angeles,558,246,92.421,129.046,37.392014,0.612,36.382,532.7,2.263,0.46,1.244,6.558,54.008,26.419,7.962842243,61.075,0.004,0.006,0.642,0.005,0.025,0.28,0.039,0.29,0.539,0.522,0.76,0.789,0.309,0.152,0.166,3.1,30.1
Moorpark,Ventura,111,44,78.017,103.722,6.677599,0.187,58.908,567.3,2.637,0.631,1.797,6.478,100.457,39.247,2.899920509,36.481,0.011,0.004,0.074,0.006,0.032,0.3,0.574,0.315,0.177,0.734,0.27,0.884,0.397,0.089,0.059,3.29,26.8
Moraga,Contra Costa,49,33,117.849,129.958,4.547792,0.267,146.989,971.7,3.395,0.818,1.909,6.902,136.336,63.143,1.846871686,17.416,0.028,0.001,0.171,0,0.057,0.085,0.659,0.114,0.144,0.828,0.211,0.988,0.745,0.047,0.046,2.68,32.5
Moreno Valley,Riverside,533,241,73.313,98.196,32.37527,0.16,35.015,231.4,1.544,0.425,1.298,8.503,56.456,18.796,4.008172421,205.499,0.176,0.006,0.058,0.007,0.031,0.552,0.17,0.734,0.243,0.596,0.503,0.756,0.152,0.192,0.186,3.91,34.3
Morgan Hill,Santa Clara,471,162,113.896,147.579,29.684311,0.709,74.423,678.9,2.975,0.719,1.7,NA,100.9,44.484,3.42818323,44.155,0.023,0.005,0.097,0.002,0.066,0.329,0.479,0.357,0.181,0.7,0.292,0.899,0.401,0.083,0.086,2.98,33.7
Morro Bay,San Luis Obispo,315,81,74.877,99.137,11.10074,1.055,41.475,495.9,2.079,0.478,1.337,11.147,53.348,33.352,2.009056604,10.648,0.014,0.01,0.021,0,0.027,0.139,0.79,0.163,0.107,0.542,0.147,0.917,0.38,0.168,0.103,2.1,21.1
Mountain View,Santa Clara,1018,478,119.235,168.082,99.141918,1.257,101.527,973,3.243,0.766,1.912,15.956,109.249,61.668,6.703916667,80.447,0.018,0.004,0.278,0.005,0.048,0.2,0.447,0.222,0.389,0.408,0.454,0.927,0.657,0.083,0.087,2.39,22.5
Murrieta,Riverside,393,239,110.612,152.302,41.11683,0.378,53.105,339.8,2.189,0.547,1.548,10.137,76.149,29.275,3.325610482,111.674,0.063,0.006,0.085,0.005,0.078,0.268,0.494,0.337,0.144,0.666,0.224,0.922,0.287,0.114,0.093,3.31,35.6
Napa,Napa,703,341,95.495,134.086,67.291278,0.845,44.418,476.8,2.221,0.563,1.428,14.403,71.087,34.07,4.507623318,80.416,0.008,0.012,0.027,0.001,0.03,0.39,0.532,0.41,0.227,0.553,0.368,0.821,0.3,0.12,0.087,2.76,21.6
National City,San Diego,460,278,76.566,104.858,36.92599,0.611,30.057,317.3,1.698,0.326,1.04,23.505,42.178,17.878,8.399313187,61.147,0.05,0.003,0.186,0.004,0.029,0.632,0.096,0.685,0.413,0.319,0.702,0.724,0.142,0.25,0.241,3.54,26.4
Newark,Alameda,553,128,114.206,142.633,24.417507,0.546,52.697,547.8,2.354,0.46,1.744,15.686,91.965,34.318,3.300432277,45.81,0.047,0.005,0.288,0.008,0.072,0.327,0.253,0.379,0.344,0.699,0.533,0.886,0.303,0.084,0.069,3.29,29.6
Newman,Stanislaus,52,37,55.231,65.925,3.163703,0.292,34.359,159.6,1.255,0.382,1.021,3.807,51.455,18.451,5.296666667,11.123,0.022,0.001,0.019,0.001,0.02,0.681,0.256,0.704,0.264,0.607,0.574,0.757,0.094,0.242,0.186,3.36,33.4
Newport Beach,Orange,1208,690,111.659,151.512,126.269546,1.454,93.887,1584.9,NA,1.091,2.058,33.139,115.845,84.134,3.640823184,86.688,0.006,0.002,0.076,0.002,0.034,0.083,0.796,0.091,0.148,0.559,0.17,0.977,0.657,0.072,0.066,2.29,24.6
Norco,Riverside,173,42,61.794,92.392,5.562051,0.207,53.972,445.7,2.403,0.574,1.811,12.317,87.067,30.612,1.913610315,26.714,0.041,0.004,0.035,0.003,0.053,0.307,0.558,0.352,0.132,0.792,0.26,0.827,0.175,0.105,0.079,3.32,38.8
Norwalk,Los Angeles,577,262,61.549,86.288,28.560642,0.268,36.103,350.6,1.848,0.378,1.384,10.364,61.05,20.046,10.93491246,106.178,0.042,0.007,0.13,0.003,0.028,0.68,0.11,0.729,0.345,0.63,0.668,0.734,0.16,0.187,0.148,3.82,30
Novato,Marin,435,155,92.291,115.901,23.786453,0.434,62.47,625.9,2.765,0.631,1.764,15.652,83.895,49.236,2.040962099,56.004,0.022,0.002,0.066,0.001,0.054,0.188,0.667,0.212,0.195,0.666,0.248,0.937,0.459,0.075,0.074,2.49,31.8
Oakdale,Stanislaus,140,60,67.569,104.489,8.004469,0.367,42.135,251.1,1.708,0.46,0.937,12.993,51.654,24.483,3.729586777,22.564,0.014,0.002,0.018,0,0.037,0.288,0.642,0.304,0.086,0.58,0.211,0.877,0.164,0.082,0.161,2.83,27.9
Oakland,Alameda,5483,2928,97.848,147.578,550.158923,1.335,47.874,500.5,2.394,0.588,1.189,7.559,57.778,34.984,7.528320488,420.005,0.241,0.008,0.156,0.006,0.064,0.26,0.266,0.509,0.273,0.396,0.403,0.805,0.397,0.138,0.2,2.55,31
Oakley,Contra Costa,121,48,97.762,115.14,7.824875,0.2,55.625,324,2.041,0.579,1.498,3.348,82.584,28.288,2.562902208,40.622,0.079,0.014,0.074,0.004,0.071,0.345,0.412,0.438,0.186,0.742,0.32,0.854,0.169,0.107,0.086,3.39,40.7
Oceanside,San Diego,1197,1019,67.542,94.137,108.939307,0.626,41.836,384.1,2.115,0.506,1.454,9.795,58.949,28.452,4.255736114,175.464,0.048,0.006,0.069,0.009,0.054,0.344,0.47,0.398,0.195,0.564,0.308,0.861,0.285,0.14,0.137,2.81,28
Ojai,Ventura,124,22,63.015,81.42,3.096415,0.408,59.297,626.8,2.44,0.579,1.339,15.887,64.618,38.215,1.727790433,7.585,0.005,0.006,0.018,0,0.034,0.161,0.776,0.172,0.128,0.536,0.148,0.901,0.469,0.184,0.109,2.54,24.7
Ontario,San Bernardino,1461,974,87.575,118.372,149.863497,0.884,33.384,293,1.702,0.395,1.296,28.906,54.896,19.761,3.468402082,173.212,0.059,0.007,0.054,0.004,0.042,0.681,0.153,0.747,0.29,0.53,0.59,0.712,0.149,0.181,0.17,3.51,30.6
Orange,Orange,881,535,104.94,139.871,90.569128,0.647,47.038,565.8,2.479,0.483,1.581,15.442,79.192,31.958,5.665483871,140.504,0.015,0.005,0.11,0.003,0.03,0.386,0.452,0.406,0.24,0.571,0.406,0.84,0.34,0.147,0.128,3.13,25.4
Orange Cove,Fresno,47,20,60.193,75.684,2.465006,0.257,29.063,118.8,1.058,0.377,0.759,1.456,27.782,9.146,5.018848168,9.586,0.01,0.01,0.002,0.004,0.006,0.932,0.037,0.952,0.366,0.417,0.816,0.459,0.044,0.203,0.516,4.37,25.9
Orinda,Contra Costa,73,40,65.014,93.687,4.319958,0.228,164.023,1125,NA,0.915,2.337,3.912,178.704,94.377,1.535488959,19.47,0.012,0.005,0.129,0.001,0.053,0.057,0.743,0.074,0.164,0.873,0.169,0.986,0.804,0.029,0.026,2.74,32.5
Orland,Glenn,81,30,57.789,87.851,3.110314,0.414,30.931,196.2,1.285,0.365,0.752,13.534,39.559,16.571,2.554545455,7.587,0.002,0.005,0.032,0.002,0.005,0.5,0.454,0.507,0.211,0.527,0.501,0.725,0.121,0.118,0.26,2.94,26.1
Oroville,Butte,138,96,63.531,80.218,9.457128,0.5,36,152.9,1.169,0.323,0.773,25.441,35.457,17.75,1.465204003,19.033,0.041,0.012,0.095,0.004,0.114,0.124,0.611,0.177,0.075,0.473,0.161,0.834,0.097,0.107,0.256,2.75,19.6
Oxnard,Ventura,1709,712,84.276,112.493,126.784148,0.619,31.397,362.9,2.071,0.461,1.396,11.724,61.709,21.102,7.73172183,207.906,0.026,0.013,0.074,0.002,0.03,0.719,0.136,0.758,0.367,0.535,0.686,0.661,0.163,0.223,0.163,4,24.8
Pacifica,San Mateo,343,133,108.588,137.454,22.025974,0.567,66.615,680.5,2.784,0.494,1.937,5.088,103.545,46.043,3.085466035,39.062,0.02,0.004,0.184,0.013,0.085,0.177,0.517,0.201,0.199,0.681,0.26,0.944,0.43,0.059,0.055,2.78,30.2
Pacific Grove,Monterey,129,62,84.613,96.791,8.119232,0.522,63.26,700.5,2.817,0.483,1.478,8.891,81.304,49.287,5.443902439,15.624,0.015,0.004,0.054,0,0.039,0.116,0.773,0.135,0.119,0.478,0.17,0.955,0.533,0.104,0.067,2.24,19.1
Palmdale,Los Angeles,634,155,73.249,116.569,24.992604,0.159,39.995,207.4,1.598,0.494,1.174,10.003,52.801,19.908,1.485050963,157.356,0.123,0.007,0.042,0.002,0.05,0.565,0.211,0.695,0.261,0.634,0.411,0.74,0.15,0.152,0.206,3.6,41.8
Palm Desert,Riverside,126,103,95.082,144.352,17.105377,0.335,42.388,316.3,1.893,0.744,1.156,46.169,53.701,38.495,1.948190974,52.231,0.017,0.003,0.043,0.001,0.038,0.258,0.64,0.278,0.208,0.601,0.264,0.917,0.348,0.139,0.124,2.14,19.7
Palm Springs,Riverside,463,365,93.264,115.678,53.270824,1.14,42.129,303.1,1.799,0.661,0.973,15.97,46.059,37.343,0.506682958,47.689,0.045,0.007,0.047,0.004,0.031,0.255,0.61,0.307,0.199,0.587,0.284,0.884,0.353,0.188,0.194,1.96,21
Palo Alto,Santa Clara,1546,873,108.409,157.377,163.86914,2.458,133.424,1702.1,NA,0.832,2.283,37.083,137.043,78.721,2.806700168,67.024,0.01,0.002,0.309,0.001,0.046,0.071,0.561,0.083,0.345,0.553,0.405,0.974,0.8,0.039,0.059,2.51,23.6
Palos Verdes Estates,Los Angeles,80,57,91.132,118.063,7.568704,0.557,154.849,1609.5,NA,0.847,2.809,1.903,200.766,87.55,2.848218029,13.586,0.014,0.002,0.204,0.001,0.052,0.067,0.661,0.083,0.19,0.872,0.259,0.984,0.725,0.049,0.055,2.82,35.2
Paradise,Butte,96,41,71.106,85.058,5.189318,0.196,43.025,200.9,1.291,0.397,0.976,7.278,47.533,26.914,1.450081922,26.551,0.001,0.015,0.012,0,0.044,0.069,0.859,0.085,0.027,0.705,0.05,0.907,0.238,0.118,0.141,2.39,23.4
Paramount,Los Angeles,476,88,58.191,80.872,11.130975,0.202,30.797,283.4,1.628,0.391,1.204,5.978,46.364,15.464,11.60866808,54.909,0.093,0.007,0.025,0.007,0.026,0.795,0.047,0.895,0.381,0.388,0.775,0.589,0.091,0.214,0.221,3.9,28.4
Parlier,Fresno,65,27,55.126,67.27,2.328465,0.155,25.972,123.3,1.12,0.345,0.74,2.197,30.556,10.305,6.931050228,15.179,0,0.003,0.006,0,0.013,0.96,0.019,0.963,0.402,0.438,0.83,0.438,0.03,0.235,0.439,4.03,24.4
Pasadena,Los Angeles,2567,1485,90.275,127.58,237.950175,1.696,56.303,649.8,2.602,0.693,1.421,19.495,73.029,43.097,6.184545059,142.059,0.105,0.003,0.158,0.002,0.039,0.329,0.364,0.437,0.298,0.429,0.442,0.876,0.509,0.137,0.158,2.48,27.6
Patterson,Stanislaus,241,79,58.168,92.422,10.000066,0.471,46.377,216.5,1.693,0.441,1.304,5.599,54.195,19.527,3.659831933,21.776,0.079,0.007,0.041,0.017,0.052,0.585,0.219,0.671,0.224,0.6,0.495,0.744,0.094,0.132,0.201,3.7,38.3
Perris,Riverside,106,65,69.242,87.071,8.333452,0.113,31.65,211.4,1.535,0.432,1.28,8.543,51.315,14.765,2.431697993,76.331,0.108,0.007,0.038,0,0.025,0.713,0.108,0.828,0.295,0.6,0.611,0.654,0.089,0.205,0.236,4.47,37
Petaluma,Sonoma,113,57,81.523,111.388,6.873058,0.115,56.912,498.2,2.312,0.571,1.548,14.856,80.907,38.24,4.209318498,60.53,0.01,0.003,0.045,0.002,0.042,0.212,0.687,0.225,0.176,0.654,0.246,0.891,0.374,0.087,0.086,2.67,29.9
Pico Rivera,Los Angeles,359,120,65.703,84.848,14.041011,0.22,35.207,351.3,1.803,0.346,1.229,23.303,57.203,19.973,7.66686747,63.635,0.011,0.009,0.027,0.001,0.021,0.878,0.053,0.898,0.322,0.669,0.712,0.687,0.118,0.21,0.124,3.77,30.6
Piedmont,Alameda,415,84,121.503,171.487,16.266749,1.452,145.714,1572.7,NA,1.49,2.636,1.332,202.083,98.039,6.757738095,11.353,0.013,0.002,0.176,0.001,0.076,0.055,0.676,0.07,0.134,0.886,0.146,0.99,0.844,0.019,0.05,2.85,28
Pinole,Contra Costa,156,88,95.94,127.065,12.666924,0.665,53.052,387.5,2.102,0.492,1.558,17.615,74.124,34.133,3.626503759,19.293,0.08,0.01,0.213,0.001,0.112,0.249,0.335,0.339,0.25,0.696,0.355,0.892,0.308,0.08,0.075,2.78,35.8
Pismo Beach,San Luis Obispo,183,72,79.34,96.787,9.329098,1.168,58.79,633.3,2.683,0.573,1.431,20.889,75.978,47.33,2.277222222,8.198,0.02,0.002,0.016,0,0.03,0.069,0.863,0.091,0.056,0.579,0.101,0.959,0.422,0.095,0.073,1.97,21.9
Pittsburg,Contra Costa,443,238,90.348,128.396,36.153,0.531,46.489,280.9,1.874,0.463,1.439,7.986,63.95,24.767,4.104471545,70.679,0.167,0.004,0.167,0.014,0.078,0.389,0.181,0.56,0.322,0.554,0.502,0.79,0.198,0.13,0.154,3.27,41.2
Placentia,Orange,248,95,90.074,112.891,15.393028,0.295,49.645,554.5,2.563,0.584,1.59,6.891,80.668,32.895,7.949467275,52.228,0.011,0.001,0.167,0.001,0.039,0.363,0.418,0.375,0.253,0.655,0.389,0.854,0.367,0.117,0.102,3.14,29
Placerville,El Dorado,112,71,66.768,87.949,7.5822,0.719,36.546,270.9,1.717,0.529,1.009,29.441,42.793,25.149,1.8383821,10.681,0.006,0.014,0.007,0,0.022,0.16,0.792,0.18,0.087,0.533,0.148,0.889,0.238,0.118,0.212,2.46,24.9
Pleasant Hill,Contra Costa,123,98,97.677,133.936,15.415329,0.448,73.267,584.7,2.48,0.57,1.719,17.956,93.476,47.088,4.92970297,34.853,0.017,0.003,0.128,0.006,0.056,0.14,0.65,0.16,0.172,0.599,0.217,0.973,0.529,0.06,0.081,2.47,32.8
Pleasanton,Alameda,1012,411,119.38,171.648,83.187252,1.079,104.337,828.9,3.182,0.703,1.949,22.979,130.17,55.764,3.412277063,82.27,0.021,0.001,0.293,0.005,0.046,0.096,0.539,0.118,0.269,0.694,0.323,0.956,0.612,0.039,0.041,2.82,33.1
Pomona,Los Angeles,790,452,81.09,103.82,63.102108,0.415,31.606,310.1,1.746,0.446,1.183,5.608,50.36,17.936,6.644618736,152.494,0.064,0.014,0.089,0.003,0.039,0.677,0.114,0.755,0.337,0.522,0.649,0.682,0.173,0.211,0.215,3.77,29.9
Porterville,Tulare,686,255,54.095,78.873,26.455694,0.452,31.369,157.9,1.253,0.349,0.823,9.335,39.763,16.319,3.349119818,58.978,0.008,0.009,0.045,0.003,0.031,0.642,0.262,0.659,0.218,0.534,0.552,0.668,0.103,0.163,0.317,3.4,22.4
Port Hueneme,Ventura,165,79,76.119,102.755,10.881763,0.491,34.725,318.2,1.961,0.509,1.508,4.111,59.592,23.869,5.006067416,22.277,0.049,0.008,0.048,0.009,0.095,0.537,0.256,0.594,0.217,0.469,0.506,0.8,0.182,0.167,0.144,3.16,23.5
Poway,San Diego,388,171,74.62,113.599,25.793652,0.519,67.183,583.1,2.663,0.649,1.497,19.766,98.859,41.399,1.281397134,50.077,0.016,0.012,0.115,0.001,0.054,0.176,0.626,0.204,0.182,0.736,0.241,0.93,0.458,0.055,0.059,3.1,25.8
Rancho Cordova,Sacramento,112,62,76.066,98.197,7.723356,0.111,38.705,223.3,1.629,0.438,0.982,13.867,53.36,25.032,2.158340794,72.326,0.093,0.006,0.111,0.014,0.079,0.205,0.492,0.304,0.243,0.548,0.343,0.888,0.259,0.129,0.169,2.82,25.1
Rancho Cucamonga,San Bernardino,1057,430,71.283,95.847,58.610663,0.338,52.762,414.2,2.25,0.572,1.561,11.862,79.973,32.237,4.429962359,176.534,0.092,0.007,0.12,0.003,0.052,0.359,0.367,0.458,0.209,0.613,0.335,0.911,0.332,0.1,0.088,3.04,32.3
Rancho Mirage,Riverside,126,75,81.193,104.389,9.845129,0.55,86.4,471.3,2.436,1.003,1.245,20.125,66.083,62.76,0.744130879,18.194,0.013,0.003,0.035,0.003,0.015,0.087,0.844,0.103,0.142,0.791,0.137,0.961,0.446,0.099,0.101,1.87,22.5
Rancho Palos Verdes,Los Angeles,149,53,74.854,104.03,7.578822,0.178,100.888,1003.3,3.37,0.686,2.348,3.028,120.668,57.464,3.150334076,42.435,0.022,0,0.274,0.009,0.058,0.099,0.538,0.121,0.272,0.798,0.362,0.97,0.652,0.047,0.04,2.66,32.7
Rancho Santa Margarita,Orange,41,22,82.394,99.188,3.092393,0.063,70.136,584,2.75,0.686,1.741,11.06,104.556,44.868,3.778472222,48.969,0.02,0.002,0.11,0.001,0.04,0.188,0.64,0.21,0.168,0.713,0.227,0.956,0.491,0.061,0.045,2.87,29.6
Red Bluff,Tehama,206,77,56.821,76.015,7.624717,0.542,28.546,139.8,1.044,0.294,0.77,18.306,30.311,16.613,1.872751323,14.158,0.006,0.034,0.027,0,0.032,0.162,0.739,0.202,0.062,0.419,0.114,0.863,0.122,0.15,0.246,2.52,19.9
Redding,Shasta,1143,745,73.24,115.41,99.248416,1.086,37.556,232,1.54,0.483,0.987,21.758,44.573,25.609,1.539111484,91.808,0.014,0.021,0.047,0,0.046,0.093,0.778,0.128,0.058,0.52,0.098,0.911,0.238,0.135,0.181,2.49,16.6
