City,County,Employees,FTemployees,MedianPayK,MedianPayBenesK,TotalCompM,CompCostPerResidentK,MedianPrivatePayK,medianHomeK,medianMortgageK,medianNonMortK,medianRentK,retailK,medianIncomeK,perCapIncomeK,popdensityK,populationK,black,indian,asian,islander,mixed,latino,white,blackLatInd,foreign,homeownerRate,nonenglish,hsgrad,bachelors,noninsured,povertyRate,householdSize,commuteTime
Goleta,Santa Barbara,84,41,117.23,134.238,6.710416,0.218,50.759,650.2,2.543,0.523,1.708,24.025,81.398,36.215,3.905063291,30.85,0.017,0.008,0.085,0.001,0.046,0.375,0.468,0.4,0.225,0.541,0.363,0.885,0.417,0.081,0.084,2.76,16.2
Gonzales,Monterey,107,27,59.43,81.447,3.708177,0.441,33.22,253.7,1.636,0.326,1.179,2.541,52.94,15.321,4.40625,8.46,0.005,0.007,0.015,0,0.004,0.924,0.045,0.936,0.341,0.486,0.761,0.527,0.084,0.175,0.234,4.23,22.8
Grand Terrace,San Bernardino,70,12,57.443,67.444,1.883256,0.151,43.521,249.7,1.744,0.41,1.28,5.392,64.188,28.024,3.574,12.509,0.061,0.007,0.054,0,0.055,0.453,0.37,0.521,0.155,0.61,0.288,0.894,0.292,0.109,0.09,2.79,24
Grass Valley,Nevada,116,64,80.289,120.023,9.142102,0.71,34.821,254.4,1.459,0.425,0.961,43.353,35.524,25.402,2.728691983,12.934,0.001,0.03,0.01,0,0.024,0.117,0.817,0.148,0.079,0.411,0.097,0.896,0.246,0.154,0.255,2.08,15.8
Greenfield,Monterey,82,44,63.569,77.934,4.278832,0.251,27.262,230.3,1.458,0.369,1.173,2.749,46.506,12.992,8.143925234,17.428,0.007,0.004,0.006,0,0.013,0.894,0.076,0.905,0.417,0.484,0.818,0.504,0.048,0.246,0.255,4.59,24.9
Gridley,Butte,74,48,66.711,93.256,5.275831,0.804,28.06,158,1.303,0.303,0.769,15.21,39.583,17.363,3.181642512,6.586,0.002,0.014,0.031,0,0.024,0.473,0.455,0.489,0.231,0.505,0.424,0.692,0.145,0.122,0.227,2.83,19.9
Grover Beach,San Luis Obispo,72,49,76.123,98.641,5.726205,0.424,36.777,430.2,1.977,0.413,1.2,7.188,58.895,30.493,5.905194805,13.641,0.02,0.017,0.063,0.011,0.046,0.275,0.569,0.312,0.125,0.433,0.228,0.874,0.269,0.156,0.11,2.43,22.7
Guadalupe,Santa Barbara,66,30,70.455,86.813,2.782412,0.383,28.083,210.9,1.408,0.33,1.14,1.878,41.907,15.638,5.588549618,7.321,0.001,0.018,0.033,0,0.018,0.845,0.085,0.864,0.327,0.532,0.697,0.589,0.083,0.182,0.188,3.75,21.2
Gustine,Merced,62,18,54.632,59.371,1.677797,0.295,36.096,151.9,1.247,0.296,0.854,2.468,37.77,24.689,3.752903226,5.817,0.003,0.003,0.005,0,0.044,0.589,0.356,0.595,0.319,0.546,0.517,0.666,0.1,0.248,0.147,2.9,26.2
Half Moon Bay,San Mateo,42,17,99.292,106.529,3.083003,0.251,73.955,774,2.972,0.768,2.032,14.455,106.211,64.853,1.977725857,12.697,0.008,0.002,0.061,0.006,0.03,0.276,0.617,0.286,0.251,0.714,0.321,0.858,0.483,0.069,0.04,2.49,29.8
Hanford,Kings,367,259,60.368,81.013,23.642275,0.43,36.277,174.3,1.411,0.394,0.934,13.652,51.231,23.3,3.34822182,55.547,0.047,0.007,0.045,0.001,0.041,0.473,0.387,0.527,0.145,0.544,0.35,0.822,0.182,0.114,0.197,3.04,20.2
Hawaiian Gardens,Los Angeles,181,54,66.982,102.689,6.986051,0.482,27.329,288.2,1.6,0.399,1.16,4.168,36.026,13.538,15.23473684,14.473,0.046,0.006,0.123,0.001,0.024,0.735,0.066,0.787,0.391,0.375,0.777,0.63,0.104,0.254,0.296,3.77,26.3
Hawthorne,Los Angeles,393,219,92.456,123.418,33.302354,0.383,32.408,419.6,2.308,0.386,1.068,16.132,45.089,21.182,14.47878289,88.031,0.22,0.004,0.064,0.005,0.089,0.531,0.088,0.755,0.358,0.269,0.602,0.742,0.193,0.208,0.192,2.97,28.4
Hayward,Alameda,943,724,115.755,162.707,135.637434,0.877,41.749,404.5,2.224,0.463,1.417,11.819,68.138,27.774,3.506994704,158.937,0.11,0.007,0.246,0.022,0.06,0.389,0.165,0.506,0.389,0.51,0.576,0.808,0.264,0.127,0.125,3.24,31.8
Healdsburg,Sonoma,258,124,91.541,113.957,15.68303,1.35,52.823,596.7,2.44,0.537,1.445,19.415,69.709,41.514,2.651793722,11.827,0.001,0.003,0.012,0.001,0.045,0.316,0.622,0.32,0.189,0.583,0.268,0.889,0.411,0.137,0.077,2.42,22.2
