City,url,latestYear,YearsAvailable,County,summaryURL,Population,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay
Barstow,https://transcal.s3.amazonaws.com/public/export/barstow-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Bernardino,https://transparentcalifornia.com/salaries/2016/barstow/summary/,,,,,,,,
Beaumont,https://transcal.s3.amazonaws.com/public/export/beaumont-2016.csv,2016,"2016, 2015, 2014, 2013",Riverside,https://transparentcalifornia.com/salaries/2016/beaumont/summary/,,,,,,,,
Bell,https://transcal.s3.amazonaws.com/public/export/bell-2016.csv,2016,"2016, 2015, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/bell/summary/,,,,,,,,
Bellflower,https://transcal.s3.amazonaws.com/public/export/bellflower-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/bellflower/summary/,,,,,,,,
Bell Gardens,https://transcal.s3.amazonaws.com/public/export/bell gardens-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/bell-gardens/summary/,,,,,,,,
Belmont,https://transcal.s3.amazonaws.com/public/export/belmont-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/belmont/summary/,,,,,,,,
Belvedere,https://transcal.s3.amazonaws.com/public/export/belvedere-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Marin,https://transparentcalifornia.com/salaries/2016/belvedere/summary/,,,,,,,,
Benicia,https://transcal.s3.amazonaws.com/public/export/benicia-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Solano,https://transparentcalifornia.com/salaries/2016/benicia/summary/,,,,,,,,
Berkeley,https://transcal.s3.amazonaws.com/public/export/berkeley-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Alameda,https://transparentcalifornia.com/salaries/2016/berkeley/summary/,,,,,,,,
Beverly Hills,https://transcal.s3.amazonaws.com/public/export/beverly hills-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/beverly-hills/summary/,,,,,,,,
Big Bear Lake,https://transcal.s3.amazonaws.com/public/export/big bear lake-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Bernardino,https://transparentcalifornia.com/salaries/2016/big-bear-lake/summary/,,,,,,,,
Biggs,https://transcal.s3.amazonaws.com/public/export/biggs-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Butte,https://transparentcalifornia.com/salaries/2016/biggs/summary/,,,,,,,,
Bishop,https://transcal.s3.amazonaws.com/public/export/bishop-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Inyo,https://transparentcalifornia.com/salaries/2016/bishop/summary/,,,,,,,,
Blue Lake,https://transcal.s3.amazonaws.com/public/export/blue lake-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Humboldt,https://transparentcalifornia.com/salaries/2016/blue-lake/summary/,,,,,,,,
Blythe,https://transcal.s3.amazonaws.com/public/export/blythe-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/blythe/summary/,,,,,,,,
Bradbury,https://transcal.s3.amazonaws.com/public/export/bradbury-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/bradbury/summary/,,,,,,,,
Brawley,https://transcal.s3.amazonaws.com/public/export/brawley-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Imperial,https://transparentcalifornia.com/salaries/2016/brawley/summary/,,,,,,,,
Brea,https://transcal.s3.amazonaws.com/public/export/brea-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/brea/summary/,,,,,,,,
Brentwood,https://transcal.s3.amazonaws.com/public/export/brentwood-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/brentwood/summary/,,,,,,,,
Brisbane,https://transcal.s3.amazonaws.com/public/export/brisbane-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/brisbane/summary/,,,,,,,,
Buellton,https://transcal.s3.amazonaws.com/public/export/buellton-2016.csv,2016,"2016, 2015, 2014, 2013",Santa Barbara,https://transparentcalifornia.com/salaries/2016/buellton/summary/,,,,,,,,
Buena Park,https://transcal.s3.amazonaws.com/public/export/buena park-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/buena-park/summary/,,,,,,,,
Burbank,https://transcal.s3.amazonaws.com/public/export/burbank-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/burbank/summary/,,,,,,,,
Burlingame,https://transcal.s3.amazonaws.com/public/export/burlingame-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/burlingame/summary/,,,,,,,,
Calabasas,https://transcal.s3.amazonaws.com/public/export/calabasas-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/calabasas/summary/,,,,,,,,
Calexico,https://transcal.s3.amazonaws.com/public/export/calexico-2016.csv,2016,"2016, 2015",Imperial,https://transparentcalifornia.com/salaries/2016/calexico/summary/,,,,,,,,
California City,https://transcal.s3.amazonaws.com/public/export/california city-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Kern,https://transparentcalifornia.com/salaries/2016/california-city/summary/,,,,,,,,
Calimesa,https://transcal.s3.amazonaws.com/public/export/calimesa-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/calimesa/summary/,,,,,,,,
Calipatria,https://transcal.s3.amazonaws.com/public/export/calipatria-2016.csv,2016,"2016, 2015",Imperial,https://transparentcalifornia.com/salaries/2016/calipatria/summary/,,,,,,,,
Calistoga,https://transcal.s3.amazonaws.com/public/export/calistoga-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Napa,https://transparentcalifornia.com/salaries/2016/calistoga/summary/,,,,,,,,
Camarillo,https://transcal.s3.amazonaws.com/public/export/camarillo-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Ventura,https://transparentcalifornia.com/salaries/2016/camarillo/summary/,,,,,,,,
Campbell,https://transcal.s3.amazonaws.com/public/export/campbell-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Santa Clara,https://transparentcalifornia.com/salaries/2016/campbell/summary/,,,,,,,,
Canyon Lake,https://transcal.s3.amazonaws.com/public/export/canyon lake-2016.csv,2016,"2016, 2015, 2014, 2013",Riverside,https://transparentcalifornia.com/salaries/2016/canyon-lake/summary/,,,,,,,,
Capitola,https://transcal.s3.amazonaws.com/public/export/capitola-2016.csv,2016,"2016, 2015, 2014, 2013, 2011",Santa Cruz,https://transparentcalifornia.com/salaries/2016/capitola/summary/,,,,,,,,
Carlsbad,https://transcal.s3.amazonaws.com/public/export/carlsbad-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/carlsbad/summary/,,,,,,,,
Carmel,https://transcal.s3.amazonaws.com/public/export/carmel-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Monterey,https://transparentcalifornia.com/salaries/2016/carmel/summary/,,,,,,,,
Carpinteria,https://transcal.s3.amazonaws.com/public/export/carpinteria-2016.csv,2016,"2016, 2015, 2014, 2013",Santa Barbara,https://transparentcalifornia.com/salaries/2016/carpinteria/summary/,,,,,,,,
Carson,https://transcal.s3.amazonaws.com/public/export/carson-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/carson/summary/,,,,,,,,
Cathedral City,https://transcal.s3.amazonaws.com/public/export/cathedral city-2016.csv,2016,"2016, 2015, 2014, 2013",Riverside,https://transparentcalifornia.com/salaries/2016/cathedral-city/summary/,,,,,,,,
Ceres,https://transcal.s3.amazonaws.com/public/export/ceres-2016.csv,2016,"2016, 2015, 2014, 2013",Stanislaus,https://transparentcalifornia.com/salaries/2016/ceres/summary/,,,,,,,,
Cerritos,https://transcal.s3.amazonaws.com/public/export/cerritos-2016.csv,2016,"2016, 2015, 2014, 2013",Los Angeles,https://transparentcalifornia.com/salaries/2016/cerritos/summary/,,,,,,,,
Chico,https://transcal.s3.amazonaws.com/public/export/chico-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Butte,https://transparentcalifornia.com/salaries/2016/chico/summary/,,,,,,,,
Chino,https://transcal.s3.amazonaws.com/public/export/chino-2016.csv,2016,"2016, 2015, 2014, 2013",San Bernardino,https://transparentcalifornia.com/salaries/2016/chino/summary/,,,,,,,,
Chino Hills,https://transcal.s3.amazonaws.com/public/export/chino hills-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Bernardino,https://transparentcalifornia.com/salaries/2016/chino-hills/summary/,,,,,,,,
Chowchilla,https://transcal.s3.amazonaws.com/public/export/chowchilla-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Madera,https://transparentcalifornia.com/salaries/2016/chowchilla/summary/,,,,,,,,
Chula Vista,https://transcal.s3.amazonaws.com/public/export/chula vista-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/chula-vista/summary/,,,,,,,,
Citrus Heights,https://transcal.s3.amazonaws.com/public/export/citrus heights-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Sacramento,https://transparentcalifornia.com/salaries/2016/citrus-heights/summary/,,,,,,,,
City of Industry,https://transcal.s3.amazonaws.com/public/export/city of industry-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/city-of-industry/summary/,,,,,,,,
Claremont,https://transcal.s3.amazonaws.com/public/export/claremont-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/claremont/summary/,,,,,,,,
Clayton,https://transcal.s3.amazonaws.com/public/export/clayton-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/clayton/summary/,,,,,,,,
Clearlake,https://transcal.s3.amazonaws.com/public/export/clearlake-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Lake,https://transparentcalifornia.com/salaries/2016/clearlake/summary/,,,,,,,,
Cloverdale,https://transcal.s3.amazonaws.com/public/export/cloverdale-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Sonoma,https://transparentcalifornia.com/salaries/2016/cloverdale/summary/,,,,,,,,
Clovis,https://transcal.s3.amazonaws.com/public/export/clovis-2016.csv,2016,"2016, 2015, 2013, 2012",Fresno,https://transparentcalifornia.com/salaries/2016/clovis/summary/,,,,,,,,
Coachella,https://transcal.s3.amazonaws.com/public/export/coachella-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/coachella/summary/,,,,,,,,
Coalinga,https://transcal.s3.amazonaws.com/public/export/coalinga-2016.csv,2016,"2016, 2015, 2014",Fresno,https://transparentcalifornia.com/salaries/2016/coalinga/summary/,,,,,,,,
Colfax,https://transcal.s3.amazonaws.com/public/export/colfax-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Placer,https://transparentcalifornia.com/salaries/2016/colfax/summary/,,,,,,,,
Colma,https://transcal.s3.amazonaws.com/public/export/colma-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/colma/summary/,,,,,,,,
Colton,https://transcal.s3.amazonaws.com/public/export/colton-2016.csv,2016,"2016, 2015, 2014, 2013",San Bernardino,https://transparentcalifornia.com/salaries/2016/colton/summary/,,,,,,,,
Colusa,https://transcal.s3.amazonaws.com/public/export/colusa-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Colusa,https://transparentcalifornia.com/salaries/2016/colusa/summary/,,,,,,,,
Commerce,https://transcal.s3.amazonaws.com/public/export/commerce-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/commerce/summary/,,,,,,,,
Compton,https://transcal.s3.amazonaws.com/public/export/compton-2016.csv,2016,"2016, 2014, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/compton/summary/,,,,,,,,
Concord,https://transcal.s3.amazonaws.com/public/export/concord-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Contra Costa,https://transparentcalifornia.com/salaries/2016/concord/summary/,,,,,,,,
Corcoran,https://transcal.s3.amazonaws.com/public/export/corcoran-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Kings,https://transparentcalifornia.com/salaries/2016/corcoran/summary/,,,,,,,,
Corona,https://transcal.s3.amazonaws.com/public/export/corona-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/corona/summary/,,,,,,,,
Coronado,https://transcal.s3.amazonaws.com/public/export/coronado-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Diego,https://transparentcalifornia.com/salaries/2016/coronado/summary/,,,,,,,,
Corte Madera,https://transcal.s3.amazonaws.com/public/export/corte madera-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Marin,https://transparentcalifornia.com/salaries/2016/corte-madera/summary/,,,,,,,,
Costa Mesa,https://transcal.s3.amazonaws.com/public/export/costa mesa-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/costa-mesa/summary/,,,,,,,,
Cotati,https://transcal.s3.amazonaws.com/public/export/cotati-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Sonoma,https://transparentcalifornia.com/salaries/2016/cotati/summary/,,,,,,,,
Covina,https://transcal.s3.amazonaws.com/public/export/covina-2016.csv,2016,"2016, 2015, 2013",Los Angeles,https://transparentcalifornia.com/salaries/2016/covina/summary/,,,,,,,,
Crescent City,https://transcal.s3.amazonaws.com/public/export/crescent city-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Del Norte,https://transparentcalifornia.com/salaries/2016/crescent-city/summary/,,,,,,,,
Cudahy,https://transcal.s3.amazonaws.com/public/export/cudahy-2016.csv,2016,2016,Los Angeles,https://transparentcalifornia.com/salaries/2016/cudahy/summary/,,,,,,,,
Culver City,https://transcal.s3.amazonaws.com/public/export/culver city-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/culver-city/summary/,,,,,,,,
Cupertino,https://transcal.s3.amazonaws.com/public/export/cupertino-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Santa Clara,https://transparentcalifornia.com/salaries/2016/cupertino/summary/,,,,,,,,
Cypress,https://transcal.s3.amazonaws.com/public/export/cypress-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Orange,https://transparentcalifornia.com/salaries/2016/cypress/summary/,,,,,,,,
Daly City,https://transcal.s3.amazonaws.com/public/export/daly city-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/daly-city/summary/,,,,,,,,
Dana Point,https://transcal.s3.amazonaws.com/public/export/dana point-2016.csv,2016,"2016, 2015, 2014, 2013, 2012",Orange,https://transparentcalifornia.com/salaries/2016/dana-point/summary/,,,,,,,,
