City,url,latestYear,YearsAvailable,County,summaryURL,Population,Employees,FTemployees,MedianPay,MedianPayBenes,TotalComp,CompCostPerResident,MedianPrivatePay
Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Merced,https://transparentcalifornia.com/salaries/2016/atwater/summary/,"28,906",175,48,"$71,912 ","$94,188 ","$7,155,843 ",$247 ,"$31,582 "
Auburn,https://transcal.s3.amazonaws.com/public/export/auburn-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Placer,https://transparentcalifornia.com/salaries/2016/auburn/summary/,"13,858",107,60,"$80,974 ","$120,078 ","$9,254,357 ",$667 ,"$37,163 "
Avalon,https://transcal.s3.amazonaws.com/public/export/avalon-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/avalon/summary/,"3,767",132,50,"$75,634 ","$92,882 ","$6,871,242 ","$1,824 ","$31,563 "
Avenal,https://transcal.s3.amazonaws.com/public/export/avenal-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Kings,https://transparentcalifornia.com/salaries/2016/avenal/summary/,"13,590",60,42,"$64,881 ","$81,853 ","$4,255,377 ",$313 ,"$28,267 "
Azusa,https://transcal.s3.amazonaws.com/public/export/azusa-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/azusa/summary/,"48,498",422,219,"$100,943 ","$116,057 ","$32,851,709 ",$677 ,"$34,764 "
Bakersfield,https://transcal.s3.amazonaws.com/public/export/bakersfield-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Kern,https://transparentcalifornia.com/salaries/2016/bakersfield/summary/,"367,555","1,846","1,333","$72,299 ","$104,490 ","$167,636,501 ",$456 ,"$40,366 "
Baldwin Park,https://transcal.s3.amazonaws.com/public/export/baldwin park-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/baldwin-park/summary/,"76,511",400,153,"$71,993 ","$100,099 ","$20,164,655 ",$263 ,"$31,153 "
Banning,https://transcal.s3.amazonaws.com/public/export/banning-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Riverside,https://transparentcalifornia.com/salaries/2016/banning/summary/,"30,643",226,130,"$72,867 ","$101,274 ","$16,598,814 ",$541 ,"$31,058 "
Barstow,https://transcal.s3.amazonaws.com/public/export/barstow-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Bernardino,https://transparentcalifornia.com/salaries/2016/barstow/summary/,"23,438",217,117,"$96,945 ","$111,126 ","$17,536,056 ",$748 ,"$34,978 "
Beaumont,https://transcal.s3.amazonaws.com/public/export/beaumont-2016.csv,2016,"2016, 2015, 2014, 2013",Riverside,https://transparentcalifornia.com/salaries/2016/beaumont/summary/,"42,191",164,105,"$71,955 ","$84,406 ","$10,972,459 ",$260 ,"$45,422 "
Bell,https://transcal.s3.amazonaws.com/public/export/bell-2016.csv,2016,"2016, 2015, 2013, 2012",Los Angeles,https://transparentcalifornia.com/salaries/2016/bell/summary/,"35,927",191,64,"$79,870 ","$107,630 ","$8,215,471 ",$228 ,"$27,709 "
Bellflower,https://transcal.s3.amazonaws.com/public/export/bellflower-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/bellflower/summary/,"77,687",239,77,"$68,068 ","$86,368 ","$10,067,641 ",$129 ,"$37,081 "
Bell Gardens,https://transcal.s3.amazonaws.com/public/export/bell gardens-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",Los Angeles,https://transparentcalifornia.com/salaries/2016/bell-gardens/summary/,"42,805",280,120,"$76,037 ","$107,236 ","$17,352,528 ",$405 ,"$23,797 "
Belmont,https://transcal.s3.amazonaws.com/public/export/belmont-2016.csv,2016,"2016, 2015, 2014, 2013, 2012, 2011",San Mateo,https://transparentcalifornia.com/salaries/2016/belmont/summary/,"26,918",195,106,"$105,375 ","$129,147 ","$18,191,010 ",$675 ,"$105,732 "
